title,period,link,type,place,view,signup_status
念佛共修,2025/01/18～2025/06/28,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402411,法會,臺中寶雲寺,496,
大悲懺法會,2025/06/21～2025/06/21,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402405,法會,臺南分院,197,
菩薩戒誦戒會暨念佛共修,2025/01/18～2025/06/21,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202401892,法會,新竹精舍,189,
絕妙說法,2025/05/24～2025/11/01,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402909,佛學,海山分會,250,
遠距18-初心禪繞畫,2025/03/29～2025/07/05,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500161,禪藝生活,其他,475,
禪藝班：插花供佛(池坊班),2025/02/15～2025/06/21,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402671,禪藝生活,新竹精舍,438,
泰山共修處-禪畫當下(禪繞畫),2025/03/15～2025/07/05,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500072,禪藝生活,泰山共修處,404,
皂藝-手工皂進階技術與技巧班,2025/04/12～2025/07/05,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500143,禪藝生活,新北市金美國小,119,
草月流插花班,2025/03/01～2025/07/05,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402541,禪藝生活,桃園齋明寺,172,
護法總會海線分會「花藝禪研習班」第五期,2025/03/22～2025/07/05,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500078,禪藝生活,海線分會,146,
護法總會員林分會兒童班【親子瑜伽】,2025/06/21～2025/12/06,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202501276,營隊,員林分會,128,報名中
開啟心中無盡藏,2025/06/07～2025/06/28,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202501165,其他,台北安和分院,180,報名中
教聯組日文課程第一期,2025/05/11～2025/12/27,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500894,其他,重陽分會,291,報名中
大悲懺法會,2025/06/22～2025/06/22,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402413,法會,臺中寶雲寺,326,
福田心靈環保讀書會,2025/01/12～2025/06/22,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402306,佛學,高雄紫雲寺,197,
青年太極拳班,2025/01/05～2025/06/29,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402182,禪藝生活,新竹精舍,487,報名中
耕心田趣－咖啡種植與烘焙三芝班,2025/04/20～2025/09/28,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500173,禪藝生活,自然環保戶外教室(三芝),101,
兒童營義工培訓,2025/06/22～2025/06/22,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202501117,培訓,中山精舍,110,
【講座】人生七十才開始,2025/06/22～2025/06/22,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202501300,座談,臺中寶雲寺,231,報名中
禪坐共修,2025/01/06～2025/06/30,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402251,禪修,桃園齋明別苑,762,
禪坐靜心,2025/01/06～2025/06/30,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402423,禪修,心靈環保學習中心,1082,
供花研習班,2025/03/03～2025/06/30,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402161,禪藝生活,台北安和分院,439,
禪坐共修,2025/01/07～2025/06/24,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402297,禪修,高雄紫雲寺,687,
禪坐共修,2025/01/07～2025/06/24,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402521,禪修,臺中寶雲寺,1034,
念佛共修,2025/01/07～2025/06/24,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202401876,法會,基隆精舍,221,
菩薩戒誦戒會暨念佛共修,2025/01/21～2025/06/24,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402076,法會,台北安和分院,416,
念佛共修,2025/01/07～2025/06/24,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202401959,法會,花蓮精舍,127,
心靈環保讀書會,2025/06/03～2025/12/30,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500329,佛學,農禪寺,190,
居家生活花藝,2025/03/25～2025/06/24,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500140,禪藝生活,法鼓德貴學苑,208,
太極拳班,2025/03/04～2025/06/24,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402339,禪藝生活,桃園齋明寺,321,
萬金樂活手語班,2025/04/08～2025/09/23,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500180,禪藝生活,萬金分會,143,
禪藝繪畫,2025/02/11～2025/07/15,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202401951,禪藝生活,中山精舍,70,
花藝研習班,2025/04/29～2025/06/24,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202401954,禪藝生活,中山精舍,193,
合唱團練唱,2025/01/07～2025/06/24,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402278,禪藝生活,桃園齋明別苑,352,
書法班,2025/03/04～2025/07/01,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202401917,禪藝生活,基隆精舍,300,
禪@鈔經,2025/01/07～2025/06/24,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402440,禪藝生活,心靈環保學習中心,473,
乘著粉彩心旅行,2025/05/13～2025/07/29,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202501108,禪藝生活,法鼓德貴學苑,174,
新店安心小棧家庭照顧者紓壓療癒課程,2025/01/03～2025/07/09,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402273,社會關懷,其他,324,
總本山平日義工出坡日,2025/06/24～2025/06/24,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402913,其他,法鼓山園區,312,
禪坐靜心（精進型）,2025/01/08～2025/06/25,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402430,禪修,心靈環保學習中心,576,
禪坐靜心（精進型）,2025/01/08～2025/06/25,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402427,禪修,心靈環保學習中心,341,
禪坐共修,2025/01/08～2025/06/25,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402298,禪修,高雄紫雲寺,879,
念佛共修,2025/01/08～2025/06/25,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402202,法會,臺南分院,372,
經典共修—《維摩經》,2025/04/09～2025/06/25,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402011,法會,新竹精舍,221,
念佛共修,2025/01/01～2025/06/25,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402227,法會,桃園齋明別苑,637,
放下的幸福,2025/03/05～2025/07/02,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402157,佛學,台北安和分院,796,報名中
禪@押花藝術-暑期工作坊,2025/06/11～2025/07/30,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202501211,禪藝生活,心靈環保學習中心,153,
禪@健身氣功八段錦(B班),2025/06/25～2025/08/20,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202501213,禪藝生活,心靈環保學習中心,60,
合唱團練唱,2025/02/12～2025/07/16,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202401921,禪藝生活,基隆精舍,240,
斜槓人生—療癒捏塑技能養成班,2025/03/26～2025/07/09,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500137,禪藝生活,法鼓德貴學苑,256,
享受生活的樂趣-千歲玩花草‧生活真精彩,2025/04/09～2025/06/25,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202500169,禪藝生活,其他,279,
插花班,2025/03/05～2025/06/25,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202401920,禪藝生活,基隆精舍,248,
法鼓山護法總會文山分會【心靈環保讀書會《學佛群疑》】,2025/02/19～2025/07/02,https://www.ddm.org.tw/xcevent/cont?xsmsid=0K293423255300198901&en=A202402903,其他,文山分會,222,報名中
